SITE_ID,NH4,pH,PFOR,PWETL,PURB,PAGT,LANDAREA,COND,SIMPSON,EPT_PTAX,EPT_PIND,FLOW_CFS
WCAP99-1106,0.6,0.154881662,90.37,0.06,0,0,1.39,101,0.131438763,32.25806452,48.66666667,1.587
OWW04440-0692,10.1,0.347,48.66,4.63,0,46.47,1.43,250,0.342462051,0,0,0
WORP99-0890,2.8,0.036307806,2.37,0,0,0,1.44,26,0.2736677,45.94594595,74.33333333,1.383
WWAP99-0705,0.4,0.042657952,49.84,0,0,0,1.47,26,0.103659873,48.71794872,69,1.541
WWAP99-0608,0.5,0.023,100.15,0,0,0,1.47,62,0.08094412,47.72727273,62.33333333,0.316
OWW04440-0575,10.8,0.032,37.93,5.53,0,56.53,1.48,538,0.321699958,4,0.333333333,0.042
WIDP99-0508,0.3,0.022,46.32,0,0,0,1.58,49,0.0986,51.2195122,54,0.505
OWW04440-0221,3.6,0.219,15.1,3.4,0,81.49,1.63,78,0.124036644,18.75,34.66666667,0.201
WIDP99-0524,0.2,0.019,40.62,0.43,0,0,1.65,98,0.231976814,38.88888889,14.66666667,0.03
OWW04440-0538,0.7,0.006,88.05,0,0,11.94,1.68,500,0.165852865,32.14285714,17.70833333,0.562
WCAP99-1057,0.5,0.007585776,97.81,0,0,0,1.75,440,0.102792245,50,63,0.309
WNVP99-0570,0.8,0.004,95.15,0,0,0,1.82,268,0.456268222,25,73,0.252
WNVP99-0570,0.8,0.004,95.15,0,0,0,1.82,268,0.499247343,21.05263158,76,0.252
WMTP99-0521,0.5,0.015,98.44,0,0,0,1.85,78,0.076077863,41.17647059,39,0.356
OWW04440-0660,0.5,0.034,98.31,0.04,0,0.04,1.86,145,0.056004335,22,43.33333333,0.18
OWW04440-0041,12.3,0.093,60.9,0.88,0,29.55,1.94,260,0.424122198,13.33333333,8,2.666
OWW04440-0041,12.3,0.093,60.9,0.88,0,29.55,1.94,260,0.120153357,6.896551724,6,2.666
OWW04440-0030,1.1,0.072,94.67,0.09,0,5.13,1.94,51,0.07017153,16.66666667,19.40298508,0.98
OWW04440-0030,1.1,0.072,94.67,0.09,0,5.13,1.94,51,0.071343316,12.19512195,10.29411765,0.98
WWAP99-0721,0.3,0.00724436,98.34,0,0,0,1.95,303,0.086964756,41.66666667,40.66666667,0.205
WMTP99-0510,0.5,0.009,55.81,0,0,0,1.97,355,0.148466112,40.625,41.66666667,0.111
WNVP99-0670,1.1,0.007762471,0,0,0,0,2,397,0.622866667,6.666666667,0.333333333,0.228
WCOP99-0502,0.6,0.01,2.21,0,0,0,2.07,40,0.111269825,50,68,0.236
WORP99-0529,0.4,0.006,86.6,0,0,0,2.09,275,0.068180737,40.42553192,29.33333333,0.475
WNVP99-0617,0.7,0.003981072,48.24,0,0,0,2.1,327,0.130382653,33.33333333,29.33333333,0.121
WNVP99-0617,0.7,0.003981072,48.24,0,0,0,2.1,327,0.189203573,34.48275862,27.33333333,0.121
WWAP99-0776,0.1,0.007943282,47.17,0,0,0,2.21,106,0.13048011,51.72413793,84,0.222
WORP99-0692,0.5,0.005,88.94,0,0,0,2.25,284,0.451996553,38.23529412,13.33333333,0.052
WWAP99-0566,0.3,0.016218101,51.13,0,0,0,2.28,70,0.083757239,48.48484849,79,0.585
WWYP99-0511,0.3,0.005,26.4,0,0,0,2.33,427,0.140904894,44,75.33333333,1.937
OWW04440-0889,20.2,0.059,9.34,0,0,86.74,2.37,256,0.412686892,5.263157895,0.666666667,0
WCOP99-0513,0.2,0.005,70.94,0,0,1.91,2.45,260,0.074044847,37.20930233,40.33333333,0.132
WCAP99-0844,0.5,0.013182567,99.7,0,0,0,2.47,181,0.0609319,46.42857143,66.33333333,0.078
WORP99-0821,0.4,0.022908677,98.67,0,0,0,2.48,50,0.317384067,51.28205128,32.33333333,2.006
WCAP99-1065,0.5,0.005495409,85.71,0,0,0,2.49,246,0.047557338,39.21568628,51,0.304
WCAP99-0810,1.1,0.019,67.15,0,0,0,2.5,347,0.195173801,41.17647059,21.66666667,0.408
WIDP99-0737,0.5,0.038904515,64.77,0,0,0,2.53,29,0.073752907,45.45454546,50.66666667,0.553
WMTP99-0801,0.5,0.005495409,89.57,0.07,0,0,2.54,221,0.144039069,21.42857143,5.666666667,0.111
WWAP99-0642,0.2,0.03,86.41,0,0,0,2.57,68,0.045688776,46,51.33333333,0.059
WORP99-0665,0.4,0.006,92.12,0,0,0,2.57,327,0.241666188,20,13.66666667,0.024
OWW04440-0750,0.4,0.059,96.44,0,0,3.48,2.63,149,0.092732698,48.64864865,71.33333333,0.417
OWW04440-0579,5.9,0.38,6.57,1.26,0,3.81,2.64,71,0.098419835,10.81081081,20.33333333,0
WWAP99-0529,0.4,0.072,66.29,0,0,0,2.7,13,0.069239253,50,66.66666667,0.267
OWW04440-0130,0.9,1.259,98.2,1.16,0,0.63,2.7,23,0.138290816,31.57894737,34.33333333,0.337
WWAP99-0632,0.2,0.078,35.92,0,0,0,2.73,17,0.125513145,39.28571429,62.33333333,11.304
WORP99-0548,0.7,0.006,96.36,0.07,0,0,2.73,464,0.42664678,26.08695652,4.666666667,0.906
WCAP99-0838,1,0.042,86.15,0,0,0,2.74,225,0.084606229,34.88372093,43.33333333,0.041
WWAP99-0732,1.2,0.044668359,82.12,0,0,0,2.77,18,0.072255187,47.61904762,66,0.025
WWAP99-0697,0.4,0.063095734,87.91,0,0,0,2.82,24,0.062959184,38.23529412,63.39869281,0.254
WORP99-1016,0.4,0.069183097,92.84,0,0,0,2.84,30,0.042900651,63.04347826,74,0.785
OWW04440-0324,0.3,0.058,97.42,0.18,0,2.38,2.86,35,0.060695464,31.91489362,43,9.495
WCAP99-0835,0.6,0.003,68.08,0,0,0,2.87,252,0.087313019,12.82051282,5,0
WORP99-0997,0.2,0.018620871,89.68,0.03,0,0,2.98,75,0.078134157,51.06382979,54.66666667,0.013
OWW04440-0400,1.1,0.078,2.1,0.03,0,97.83,2.98,934,0.356466667,0,0,0.563
OWW04440-0725,0.4,0.339,100,0,0,0,3.1,22,0.118013528,29.62962963,47.6635514,0.3551
WWYP99-0598,0.4,0.076,37.7,0,0,0,3.16,26,0.137558173,23.52941177,6.333333333,0.35
WORP99-0551,0.2,0.035,66.51,0.03,0,0,3.23,39,0.129131986,41.02564103,33,0.177
OWW04440-0608,2.5,0.043,1.93,0,0,98.06,3.26,650,0.176500176,6.25,6,4.748
OWW04440-0560,8.2,0.008,19.44,0,0,80.55,3.26,674,0.382865637,15.38461539,1,0.1800357
OWW04440-1070,0.4,0.095,99.72,0,0,0.27,3.27,52,0.075165289,43.24324324,34.82142857,4.414
WNVP99-0668,0.9,0.022387211,3.64,0,0,0,3.29,53,0.227227001,21.73913044,9.666666667,0.035
WORP99-0860,0.7,0.021877616,85.62,0,0,0,3.33,39,0.057130551,39.02439024,40.33333333,1.217
WCAP99-0883,0.4,0.007,91.87,0,0,0,3.35,322,0.061567948,37.25490196,55.33333333,0.373
WWAP99-0509,0.4,0.214,91.8,0,0,0,3.36,9,0.208043666,39.28571429,24,1.743
OWW04440-0683,2.9,0.027,44.68,13.24,0,13.85,3.38,91,0.110037484,35.13513514,15.66666667,10.152
OWW04440-0389,1.6,0.324,91.71,0.26,0,0,3.39,43,0.171603822,3.333333333,0.740740741,3.919
OWW04440-0361,9.7,13.804,74.55,16.87,0,8.56,3.39,37,0.409065667,0,0,0
WWYP99-0715,0.3,0.023988329,25.31,0.58,0,0,3.4,57,0.326539345,53.84615385,61.33333333,0.767
WORP99-0954,0.5,0.091201084,100.09,0,0,0,3.44,27,0.047605094,43.1372549,55.33333333,0.019
WNVP99-0679,0.6,0.00616595,0.1,0,0,0,3.44,316,0.141762849,39.39393939,40,0.362
OWW04440-0736,10.2,0.035,3.61,0.21,0,96.16,3.44,2637,0.126442941,0,0,0
OWW04440-0727,1.9,0.026,55.33,16.4,0,27.46,3.6,158,0.063006366,14.28571429,16,0.3259818
WCAP99-1132,0.4,0.014791084,88.11,0.05,0,0,3.61,56,0.150666667,38.46153846,51.66666667,1.558
WWAP99-0516,0.4,0.032,91.25,0,0,0,3.62,62,0.164126553,38.88888889,30.33333333,0.127
WWAP99-0516,0.4,0.032,91.25,0,0,0,3.62,62,0.1255042,37.83783784,38,0.127
WCAP99-1092,0.3,0.007413102,67.8,0,0,0,3.71,226,0.046379669,39.58333333,44.33333333,0.248
WMTP99-0704,0.5,0.052480746,56.97,0,0,0,3.74,34,0.113685829,32.43243243,28.66666667,0.005
WWAP99-0542,0.4,0.016982437,94.26,0,0,0,3.76,93,0.038176654,43.63636364,52.33333333,1.532
OWW04440-0341,1,131.826,94.49,0,0,0.02,3.79,98,0.060553633,15,8.823529412,3.037
WUTP99-0620,0.6,0.059,88.37,0,0,0,3.8,61,0.089463883,8.333333333,8,NA
OWW04440-0224,22.6,0.055,1.81,0.23,0,97.94,3.81,429,0.153578168,3.448275862,1.675977654,1.473
OWW04440-0964,0.5,0.123,98.08,0,0,1.91,3.85,19,0.101244444,72.72727273,91.33333333,12.035
WWAP99-0704,0.2,0.015848932,58.46,0,0,0,3.87,68,0.111945905,70,94,2.499
WIDP99-0701,0.4,0.005754399,63.02,0.2,0,0,3.99,372,0.17645179,44.44444444,58.33333333,1.69
OWW04440-0334,2,0.079,57.25,0,0,42.68,4.07,138,0.171248514,11.76470588,26.66666667,0.012
OWW04440-0058,2.6,12.882,99.32,0,0,0.21,4.15,26,0.151022222,9.523809524,23.33333333,0
WCAP99-0583,0.4,0.005,86.97,0,0,0,4.26,203,0.063150747,41.66666667,48,1.479
WORP99-0667,1.5,0.071,94.33,0,0,0,4.27,49,0.083288264,35.71428571,30,0.063
WUTP99-0598,0.5,0.005,79.34,0,0,0,4.28,215,0.112811618,43.24324324,45.66666667,1.145
WUTP99-0598,0.5,0.005,79.34,0,0,0,4.28,215,0.053276809,43.47826087,38.33333333,1.145
WWYP99-0608,0.4,0.006,14.81,0.02,0,0,4.3,170,0.196911111,35.48387097,15.66666667,2
WORP99-0528,0.4,0.008,82.66,0,0,0,4.4,129,0.140118114,47.22222222,29,0.272
WORP99-0931,0.4,0.004677351,77.19,0,0,0,4.42,158,0.108857641,33.33333333,18.33333333,0.08
WCAP99-0592,0.4,0.007,89.26,0,0,0,4.42,210,0.239169815,40.47619048,27.66666667,1.549
WCOP99-0505,0.3,0.008,78.86,0,0,0.02,4.45,157,0.091744311,38.88888889,33,0.13
WWAP99-0504,0.2,0.038,90.98,0,0,0,4.48,43,0.043547454,51.06382979,60.66666667,0.324
NEWS04-0806,0.7,0.033,97.65,1.26,0,1.08,4.48,95,0.076252998,42.85714286,20.33333333,1.672
OWW04440-0712,0.8,0.078,72.25,0,0,27.74,4.54,238,0.09406863,14.28571429,24.56140351,0.115
WORP99-0542,0.6,0.005,70.53,0.04,0,0,4.56,270,0.165162087,15.625,4.666666667,0.004
WNVP99-0615,1.1,0.014125375,0.45,0.02,0,0,4.8,42,0.115530566,47.5,49,0.116
WCAP99-1055,0.5,0.024547089,74.76,0,0,0,4.84,50,0.064713745,46.80851064,58,1.02
WWAP99-0692,0.9,0.032359366,97.29,0,0,0,4.85,121,0.156084965,37.5,28.33333333,0.041
WIDP99-0725,0.4,0.034673685,87.95,0,0,0,4.95,60,0.105201604,46.15384615,34.66666667,1.631
WCAP99-0755,0.3,0.005,52.09,0.36,0,0,5.06,153,0.075582181,55.88235294,66,0.993
VAEQ99-0481,0.6,0.151,98.61,0.24,0,0.1,5.14,37,0.090872529,32.5,39,0.168
OWW04440-0698,0.2,0.069,99.91,0,0,0.06,5.31,54,0.064281528,54.34782609,70.66666667,0.914
OWW04440-0849,0.8,2.692,94.64,0,0,4.45,5.53,26,0.100071055,20.45454546,5,2.926
WNVP99-0503,1.6,0.005,28.01,0,0,0,5.54,440,0.073790656,29.72972973,24.33333333,0.026
WWYP99-0662,0.4,0.022387211,61.72,0,0,0,5.62,111,0.214311111,23.52941177,1.333333333,0.476
WNVP99-0509,3.4,0.012,1.73,0,0,0,5.62,595,0.253839917,8,2.333333333,0
WNVP99-0505,1,0.012,36.54,0.02,0,0,5.62,163,0.144302862,21.21212121,8.666666667,0.019
WIDP99-0726,0.5,0.075857758,94.1,0,0,0.02,5.69,55,0.064751019,28.94736842,22,2.633
WCAP99-0794,0.6,0.038,52.76,0.02,0,0.17,5.78,164,0.072681642,20,15.33333333,0.059
WWYP99-0537,0.3,0.033,77.28,0,0,0,5.79,48,0.081640904,48.48484849,55,1.102
WORP99-0510,0.4,0.017,80.5,1.52,0,0,5.8,98,0.055259983,38.46153846,21.66666667,0.177
VAEQ99-0438,0.6,0.257,100,0,0,0,5.8,33,0.066871954,42.55319149,73.66666667,0.85
OWW04440-0362,0.4,0.04,99.95,0,0,0.04,6.01,73,0.051597633,50,68.33333333,0.47
WIDP99-0605,0.5,0.015,82.88,0,0,0,6.05,115,0.070359092,40.90909091,52.33333333,2.102
WIDP99-0605,0.5,0.015,82.88,0,0,0,6.05,115,0.056457529,41.86046512,39,2.102
WCOP99-0634,0.4,0.010471286,65.53,0,0,0.07,6.11,70,0.083787939,34.375,23.33333333,0.227
WCAP99-0604,0.5,0.032,74.08,0.21,0,0,6.11,34,0.04096392,50,51.33333333,0.386
WORP99-0748,3.2,0.12,90.93,0.01,0,0,6.18,86,0.141071429,18.75,2.333333333,0.128
WORP99-0515,0.1,0.024,96.66,0.86,0,0,6.22,49,0.07787147,36.84210526,30.33333333,1.384
VAEQ99-0436,0.6,0.035,66.18,0.14,0,30.99,6.22,78,0.052896,20.68965517,41.33333333,1.119
WORP99-0871,0.9,0.015848932,98.06,0,0,0,6.24,53,0.057949842,43.47826087,47.66666667,0.025
WWAP99-0641,0.4,0.027,70.75,0,0,0,6.29,43,0.082391564,50,69.33333333,0.646
OWW04440-0077,0.8,0.04,57.65,0,0,0.24,6.31,100,0.270534681,41.66666667,13,0.57
WNVP99-0634,0.5,0.006606935,26.48,0,0,0,6.42,137,0.113401127,37.93103448,57.66666667,15.745
WAZP99-0744,3.1,0.001047129,38.96,0,0,0,6.48,250,0.81866352,28.57142857,8,0.033
WAZP99-0722,0.9,0.023988329,86.47,0.01,0,0,6.52,57,0.113702624,28.57142857,9,0.312
WWYP99-0506,0.5,0.063,14.81,0.18,0,0,6.59,14,0.194595392,35.48387097,22.66666667,1.498
WNVP99-0520,0.8,0.017,2.33,0.07,0,0,6.62,1117,0.112142857,35.41666667,36.33333333,2.5
VAEQ99-0461,7.3,0.079,61.97,0.27,0,37.72,6.64,50,0.100062056,22.22222222,36.33333333,1.929
WCAP99-1063,0.4,0.031622777,90.46,0,0,0,6.75,192,0.085966536,38.63636364,50,NA
WCAP99-0674,0.3,0.018620871,33.22,0.01,0,0,6.84,187,0.048406988,44.18604651,55,0.616
WWAP99-0712,0.3,0.077624712,72.3,0,0,0,6.92,12,0.09384969,40.54054054,60.33333333,10.718
WIDP99-0515,0,0.006,81.11,0,0,0,6.92,199,0.131818387,61.76470588,59,3.065
WMTP99-0523,0.4,0.009772372,60.92,0,0,0,6.95,131,0.091637761,48.57142857,54.66666667,5.044
WCAP99-0598,0.2,0.007413102,67.67,0,0,0,6.95,214,0.061569681,42,56.33333333,0.755
WORP99-0503,0.5,0.141,58.51,0.05,0,0,6.96,27,0.095829904,44.44444444,83,0.086
WAZP99-0569,0.6,0.011,75.36,0,0,0,6.98,96,0.074617347,29.78723404,30,0.089
WORP99-0769,0.4,0.016,94.42,0.01,0,0,7.2,108,0.054559955,40.81632653,34,0.157
OWW04440-0709,0.9,0.724,79.57,0,0,20.36,7.2,35,0.064843285,34.09090909,38.33333333,0.115
WIDP99-0729,0.4,0.042657952,99.09,0,0,0,7.27,22,0.168924571,51.72413793,87.66666667,10.689
OWW04440-0798,0.2,0.141,99.86,0,0,0.13,7.3,13,0.034840773,50,60.66666667,0
WWYP99-0614,0.4,0.011,11.22,0.02,0,0,7.54,271,0.102448519,39.47368421,57.33333333,0.08
OWW04440-0620,0.9,0.017,92.3,0.74,0,6.84,7.65,148,0.062100592,46.93877551,47.33333333,1.713
WUTP99-0664,15.1,0.009332543,89.02,0,0,0,7.69,596,0.088892533,10.25641026,7.333333333,0.003
WORP99-0626,0.7,0.01,81.78,0,0,0,7.69,122,0.091796875,24.32432432,14.66666667,0.115
WWAP99-0524,0.4,0.023,98.58,0.16,0,0,7.76,50,0.041223544,50.90909091,53.33333333,0.782
OWW04440-0133,9.9,0.039,0.09,0.14,0,99.73,7.83,373,0.55183921,10.52631579,2.521008403,0
WWAP99-0593,0.2,0.015848932,58.75,0,0,0,7.9,67,0.057969822,54.76190476,60.66666667,4.872
OWW04440-0708,0.4,0.074,96.59,0.01,0,3.37,7.99,36,0.113499849,48.07692308,80.33333333,5.868
WWYP99-0651,0.7,0.012022644,11.88,0,0,0,8.2,76,0.089063417,42.42424242,41.33333333,4.508
WUTP99-0725,0.6,0.007585776,87,0,0,0,8.62,277,0.147996107,9.523809524,4.333333333,0.031
WIDP99-0599,0.3,0.035,76.02,0.05,0,0,8.63,32,0.064728157,45.94594595,65,6.644
WIDP99-0520,0.4,0.041,45.12,0.06,0,0,8.83,18,0.072057336,70.96774194,80.66666667,2.839
WWAP99-0716,0.6,0.069183097,73.94,0,0,0,8.85,56,0.099352083,54.54545455,54.66666667,6.788
WWAP99-0701,0.4,0.040738028,91.98,0,0,0,8.89,28,0.104408284,59.375,87.33333333,4.873
WNVP99-0683,0.7,0.028840315,28.25,0,0,0,8.93,34,0.161366605,45.16129032,36.33333333,0.971
WORP99-0508,0.9,0.066,99,0,0,0,9.06,45,0.126477763,48.8372093,43.33333333,0.484
OWW04440-0469,0.4,0.501,96.09,0,0,0.18,9.08,44,0.098593031,18.75,36,0.37
WNVP99-0561,0.7,0.006,7.67,0,0,0,9.11,243,0.149451617,31.42857143,50.66666667,NA
WCAP99-1064,0.5,0.009772372,79.45,0.01,0,0,9.11,407,0.074029286,23.40425532,19.66666667,0.018
OWW04440-0811,0.7,0.026,98.78,0.43,0,0.08,9.25,132,0.085632214,26.53061225,52,3.394
WORP99-0952,0.4,0.010471286,98.95,0,0,0,9.38,148,0.051710285,38.70967742,41.33333333,0.009
WCAP99-0593,0.3,0.005,96.44,0,0,0,9.45,299,0.046956099,56.8627451,60.66666667,0.415
WMTP99-0839,0.2,0.014454398,61.97,0,0,0,9.49,81,0.111700131,42.42424242,27.66666667,5.564
WWYP99-0653,0.9,0.005248075,0.01,2.02,0,0.22,9.55,1884,0.342866667,0,0,0.075
OWW04440-0020,0.5,19.953,99.96,0,0,0.01,9.56,18,0.131121928,52.63157895,84,1.009
OWW04440-0020,0.5,19.953,99.96,0,0,0.01,9.56,18,0.109135224,48.14814815,86.66666667,1.009
WCAP99-0862,0.2,0.035,96.11,0,0,0,9.77,127,0.048128095,47.05882353,60.66666667,5.917
WORP99-0985,0.4,0.011481536,58.26,0.02,0,0,9.87,189,0.04800931,26.53061225,15.66666667,0.002
WNVP99-0620,0.5,0.024547089,1.44,0,0,0,9.92,86,0.283288889,26.66666667,13.33333333,1.33
WCOP99-0632,0.3,0.019054607,30.99,0,0,0.04,10.15,56,0.20206297,11.76470588,0.666666667,6.083
WCOP99-0518,0.9,0.074,11.26,0,0,0,10.3,13,0.09587747,35.48387097,24.66666667,29.339
WORP99-0659,0.7,0.042,92.57,0,0,0,10.44,84,0.097391011,40.90909091,26.66666667,0.976
WCAP99-0563,0.6,0.007,14.44,0,0,0,10.6,404,0.055638702,25,25,0.028
OWW04440-0599,0.9,0.006,68.68,0,0,31.23,10.69,246,0.106698495,36.17021277,55.33333333,0.7102
NEWS04-0101,0.5,0.031,98.29,1.26,0,0,10.7,74,0.075501706,44.73684211,56.66666667,1.571
NEWS04-0703,0.6,0.043,96.62,1.22,0,0.0084,10.71,57,0.077545166,58.53658537,43.66666667,0.793
WIDP99-0772,0.6,0.005011872,13.83,0.52,0,1.13,10.8,333,0.247962065,41.17647059,57,0.587
VAEQ99-0446,2.4,0.062,83.97,1.79,0,12.7,10.87,169,0.054431469,22.22222222,34.66666667,0.987
VAEQ99-0446,2.4,0.062,83.97,1.79,0,12.7,10.87,169,0.139713433,14.28571429,12.66666667,0.987
VAEQ99-0476,0.4,0.039,99.36,0.0082,0,0.62,11.01,36,0.061622283,45.23809524,68,5.239
WCAP99-0658,0.6,0.036,64.16,0.02,0,0.25,11.03,72,0.247443195,22.22222222,5,0.218
WORP99-0698,0.3,0.007,88.63,0.02,0,0,11.19,378,0.050026222,42.59259259,21.66666667,0.425
OWW04440-0433,1.9,0.692,45.46,7.83,0,46.69,11.19,30,0.082845666,15.55555556,28,18.185
WNVP99-0673,0.6,0.012882496,0,0,0,0,11.24,128,0.173191726,12.5,19.33333333,0.143
OWW04440-0004,0.2,0.017,98.54,0,0,0.88,11.37,716,0.127604167,42.10526316,53.84615385,3.094
OWW04440-0004,0.2,0.017,98.54,0,0,0.88,11.37,716,0.181000414,33.33333333,39.77272727,3.094
WUTP99-0586,1.1,0.003,56.45,0,0,0,11.39,375,0.26085207,40.74074074,19.66666667,NA
OWW04440-0857,0.6,0.295,92.46,0.02,0,5.08,11.5,45,0.085205091,10.25641026,3.731343284,0.013
WUTP99-0542,0.9,0.047,79.57,0,0,0,11.51,21,0.10053481,33.33333333,31,12.727
WMTP99-0515,0.3,0.007,70,0.13,0,0,11.59,137,0.076322247,62.85714286,85.33333333,6.228
OWW04440-0197,1.6,0.098,62.96,0,0,36.94,11.63,98,0.08356865,17.07317073,43,1.0653
WWYP99-0585,0.5,0.008,23.21,0,0,0,11.78,133,0.094293629,40,62.33333333,1.25
